agent;autres;colloques;etude_terrain;total;statut
171;0;421,2839023;0;421,2839023;Associés/autres
172;0;161,36923;299,6857128;461,0549427;externes
173;197,797025;768,3387389;0;966,1357639;externes
174;0;0;4,655187288;4,655187288;doc_postdoc
175;302,6152195;180,965199;237,7104295;721,290848;Associés/autres
176;0;63,46723289;0;63,46723289;doc_postdoc
177;0;1903,364509;0;1903,364509;doc_postdoc
178;0;558,7607432;494,8888907;1053,649634;doc_postdoc
179;0;150,4567052;279,4195954;429,8763007;externes
180;0;0;0;0;externes
181;0;0;496,5148816;496,5148816;permanents
182;0;1,760458239;0;1,760458239;externes
183;0;799,3172778;1484,446373;2283,763651;externes
